#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
25649149371765,-0.0018531978,-0.0537162721,-0.3693758249,0.5648269057,-0.4215136766,-0.6058945656,0.3690373302,-0.2396857589,-0.1836688519,-0.2791122794,0.8335063457,-0.3083761632,0.3726758063,-0.2669909298
25649156776941,-0.0001821816,-0.0544541478,-0.3691114783,0.5680019259,-0.4232284427,-0.6045486927,0.3643796444,-0.2422494739,-0.1836218834,-0.2786285281,0.8304774165,-0.3047097027,0.3787394464,-0.2720584273
25649163152650,-0.0021069646,-0.0541426837,-0.3693920374,0.5709469318,-0.4247424304,-0.6031016111,0.3603915274,-0.2430571616,-0.1812734008,-0.2784589529,0.8280532360,-0.3019165993,0.3841415942,-0.2749719024
25649170074461,-0.0030340552,-0.0538519621,-0.3691900969,0.5737472177,-0.4256403744,-0.6017333269,0.3571575582,-0.2440139651,-0.1788766980,-0.2782450318,0.8256680369,-0.2995277643,0.3893176913,-0.2774658203
25649176993089,-0.0033900142,-0.0540540218,-0.3689403534,0.5763188004,-0.4261156023,-0.6004729867,0.3545621037,-0.2462434769,-0.1789234281,-0.2774007320,0.8233726025,-0.2967296839,0.3940305114,-0.2806227207
25649184045011,-0.0050120056,-0.0538097322,-0.3689147234,0.5783148408,-0.4266053736,-0.5991989374,0.3528746367,-0.2466466725,-0.1773217022,-0.2772936821,0.8215932250,-0.2953036129,0.3981156647,-0.2815746367
25649191016080,-0.0061101019,-0.0533275008,-0.3686605096,0.5797180533,-0.4269963801,-0.5980825424,0.3519921601,-0.2476735264,-0.1760955453,-0.2765876651,0.8200588226,-0.2939056456,0.4018579423,-0.2821938097
25649197924979,-0.0073108971,-0.0533591211,-0.3684100509,0.5811023116,-0.4273863733,-0.5970798731,0.3509368896,-0.2502262890,-0.1765373051,-0.2766439319,0.8169300556,-0.2946794331,0.4056333601,-0.2850455344
25649204961871,-0.0082746744,-0.0528645813,-0.3685134649,0.5814854503,-0.4274564385,-0.5967037082,0.3508567810,-0.2500504255,-0.1753702760,-0.2762289643,0.8164539933,-0.2944082320,0.4080168903,-0.2832824588
25649211883979,-0.0093498230,-0.0522456765,-0.3687556386,0.5816522837,-0.4273707569,-0.5966665149,0.3507478237,-0.2512939572,-0.1751672029,-0.2758872509,0.8158298135,-0.2936273515,0.4103470147,-0.2825244665
25649219938747,-0.0098900795,-0.0520635843,-0.3690662384,0.5820884109,-0.4270706475,-0.5965044498,0.3506653309,-0.2517254949,-0.1751919389,-0.2754666209,0.8155893087,-0.2933568954,0.4121981561,-0.2807997763
25649225843280,-0.0113121867,-0.0511915982,-0.3692994118,0.5824846029,-0.4265458286,-0.5964850187,0.3506793976,-0.2524462938,-0.1749592721,-0.2757909298,0.8154194951,-0.2934477627,0.4138857424,-0.2787079811
25649232747678,-0.0123387277,-0.0501872003,-0.3695057631,0.5832650065,-0.4252662659,-0.5964770913,0.3509497344,-0.2527048290,-0.1748211384,-0.2760687470,0.8155200481,-0.2938223183,0.4153957963,-0.2757569849
25649239607127,-0.0128456652,-0.0497007966,-0.3695516586,0.5844064951,-0.4234807789,-0.5961946249,0.3516889215,-0.2530271113,-0.1753395498,-0.2750102282,0.8157338500,-0.2937161922,0.4166903198,-0.2732733786
25649246562506,-0.0137375295,-0.0484978557,-0.3693948984,0.5852195024,-0.4213995636,-0.5961177945,0.3529649377,-0.2533173561,-0.1752994061,-0.2753432989,0.8161173463,-0.2941727936,0.4178337753,-0.2698702812
25649253500785,-0.0145274997,-0.0474721491,-0.3693779707,0.5858400464,-0.4192593098,-0.5960720778,0.3545577526,-0.2535870671,-0.1756023467,-0.2751532793,0.8166915178,-0.2942150235,0.4187072217,-0.2667147517
25649260509246,-0.0150879622,-0.0467863083,-0.3690112829,0.5860382318,-0.4168247879,-0.5963346362,0.3566530645,-0.2538212836,-0.1761026084,-0.2744750381,0.8175793290,-0.2942187786,0.4190425873,-0.2634440362
25649267414074,-0.0160419047,-0.0453777313,-0.3690559864,0.5856174827,-0.4147547185,-0.5967938900,0.3589817882,-0.2540638149,-0.1763151288,-0.2749526501,0.8184094429,-0.2949081957,0.4192270339,-0.2597767413
25649274349754,-0.0164816976,-0.0443056524,-0.3690981865,0.5849741697,-0.4127027094,-0.5973371863,0.3614831567,-0.2537502646,-0.1765462160,-0.2757861614,0.8192580342,-0.2955998778,0.4192624688,-0.2562341988
25649281273163,-0.0169880688,-0.0436077416,-0.3692398071,0.5837414265,-0.4103268385,-0.5984283090,0.3643644452,-0.2537579536,-0.1774742901,-0.2754907608,0.8201903701,-0.2963372767,0.4186474085,-0.2533898056
25649288177182,-0.0178462863,-0.0423002243,-0.3696517944,0.5822527409,-0.4080219269,-0.5998280644,0.3670234680,-0.2538046539,-0.1781239212,-0.2761890888,0.8211239576,-0.2972800434,0.4177901447,-0.2506618202
25649294982060,-0.0186108053,-0.0416780710,-0.3700364828,0.5809229016,-0.4050996900,-0.6014115214,0.3697662354,-0.2538446784,-0.1793360114,-0.2756369710,0.8223538995,-0.2978924811,0.4161973596,-0.2485436648
25649302154262,-0.0186786354,-0.0408270657,-0.3703064919,0.5797309875,-0.4023868740,-0.6028496623,0.3722485900,-0.2537405789,-0.1800558865,-0.2750494480,0.8234760165,-0.2983248830,0.4147067666,-0.2467953414
25649308963709,-0.0200275481,-0.0394457281,-0.3705016971,0.5789488554,-0.3990378678,-0.6043278575,0.3746664226,-0.2536938190,-0.1813460588,-0.2760428786,0.8244562149,-0.2997981310,0.4129208624,-0.2447231412
25649315832278,-0.0201292038,-0.0391611755,-0.3705018759,0.5781266689,-0.3954623938,-0.6057133079,0.3774791658,-0.2533740699,-0.1824434698,-0.2747609019,0.8252803087,-0.3007127345,0.4114700258,-0.2432626337
25649322940170,-0.0199021399,-0.0385450423,-0.3705725074,0.5773013830,-0.3919866979,-0.6069769263,0.3803270757,-0.2522936165,-0.1835791767,-0.2755789757,0.8262088299,-0.3022933304,0.4096578658,-0.2412016392
25649329824509,-0.0210209489,-0.0373821557,-0.3703132868,0.5760318041,-0.3882232606,-0.6085715294,0.3835503161,-0.2517815828,-0.1852591336,-0.2768422365,0.8273898363,-0.3041512370,0.4073456824,-0.2387207448
25649336722427,-0.0208913684,-0.0373090208,-0.3699801564,0.5745355487,-0.3843133450,-0.6102405787,0.3870642781,-0.2508339584,-0.1863925159,-0.2755294442,0.8284502625,-0.3059627414,0.4049776793,-0.2367487997
