#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
59157946049731,-0.0185510740,-0.1100410223,-0.4404024482,-0.6286548972,-0.0121162757,0.4385460913,-0.6421242356,-0.1182215437,-0.2410993576,-0.3574822545,0.9338916540,-0.3555297256,-0.0260623693,-0.0276733655
59157953074858,-0.0189311728,-0.1095236540,-0.4398820400,-0.6344068646,-0.0175439809,0.4373372793,-0.6371470094,-0.1186350212,-0.2408634424,-0.3579252958,0.9342191219,-0.3547491431,-0.0249045044,-0.0277035553
59157960003365,-0.0199081153,-0.1087417603,-0.4405578673,-0.6395223737,-0.0228426270,0.4363706708,-0.6325108409,-0.1189834923,-0.2404296398,-0.3579068482,0.9344846010,-0.3541049361,-0.0241014231,-0.0277029052
59157966966541,-0.0186708495,-0.1085890532,-0.4394567907,-0.6447530389,-0.0286773797,0.4354633093,-0.6275690794,-0.1193361804,-0.2398886681,-0.3576448858,0.9347288609,-0.3535069525,-0.0233060643,-0.0277794022
59157973852027,-0.0199778453,-0.1080495119,-0.4397779703,-0.6500447989,-0.0345718414,0.4343388677,-0.6225723028,-0.1198141351,-0.2396726608,-0.3579857349,0.9350131750,-0.3527939618,-0.0223888736,-0.0280293524
59157980843714,-0.0199415609,-0.1075930595,-0.4396380484,-0.6550736427,-0.0403392352,0.4335405529,-0.6174900532,-0.1202154681,-0.2392463684,-0.3579654396,0.9352472425,-0.3522104621,-0.0215634890,-0.0282039419
59157987788829,-0.0199312642,-0.1071397066,-0.4393711388,-0.6604011059,-0.0464100726,0.4328111112,-0.6118749976,-0.1205880120,-0.2387473583,-0.3576749265,0.9354949594,-0.3515737355,-0.0207562707,-0.0285364296
59157994675946,-0.0213844702,-0.1063994169,-0.4396675229,-0.6660860181,-0.0525988415,0.4316995442,-0.6059689522,-0.1210868284,-0.2384102345,-0.3579297662,0.9357641935,-0.3508749306,-0.0198845491,-0.0289262887
59158001709093,-0.0226815343,-0.1053938866,-0.4404495358,-0.6714698076,-0.0586994328,0.4308862388,-0.6000164151,-0.1216285229,-0.2377717495,-0.3580265045,0.9360715747,-0.3500570655,-0.0189174470,-0.0295333359
59158008578078,-0.0227202997,-0.1049176455,-0.4400921762,-0.6769449711,-0.0647660494,0.4299491942,-0.5938810110,-0.1220416054,-0.2373838425,-0.3578445017,0.9363995194,-0.3491801322,-0.0179177579,-0.0301370881
